,NAME,geometry_y,count,Year
156,330.0,"POLYGON ((-122.494504 37.742222, -122.485335 37.742626, -122.475726 37.743049, -122.475621 37.741183, -122.475485 37.739321, -122.47539 37.73745, -122.475189 37.734762, -122.479547 37.734619, -122.480254 37.73459, -122.485518 37.734356, -122.485855 37.734182, -122.491294 37.734096, -122.493784 37.733989, -122.494126 37.736631, -122.494253 37.738493, -122.494404 37.740352, -122.494504 37.742222))",20,2016-01-01
157,331.0,"POLYGON ((-122.499059 37.731576, -122.496564 37.733856, -122.493784 37.733989, -122.491294 37.734096, -122.485855 37.734182, -122.485518 37.734356, -122.480254 37.73459, -122.479547 37.734619, -122.475189 37.734762, -122.475173 37.734562, -122.474972 37.731072, -122.480015 37.731148, -122.48193 37.731172, -122.485302 37.730946, -122.486179 37.730879, -122.486606 37.729555, -122.48889 37.730257, -122.492161 37.728836, -122.493529 37.729594, -122.497017 37.729303, -122.499059 37.731576))",6,2016-01-01
158,332.01,"POLYGON ((-122.486179 37.730879, -122.485302 37.730946, -122.48193 37.731172, -122.480015 37.731148, -122.474972 37.731072, -122.474634 37.728992, -122.474745 37.72693599999999, -122.475347 37.720914, -122.478988 37.720844, -122.479631 37.719663, -122.484909 37.724032, -122.483811 37.727029, -122.486606 37.729555, -122.486179 37.730879))",43,2016-01-01
159,332.03,"POLYGON ((-122.485124 37.718575, -122.484832 37.718571, -122.483143 37.718517, -122.483205 37.717585, -122.479981 37.716942, -122.478674 37.717903, -122.47724 37.717709, -122.475818 37.716891, -122.474383 37.717507, -122.474528 37.719065, -122.472672 37.717248, -122.471472 37.713427, -122.471355 37.712802, -122.476624 37.714567, -122.485043 37.714754, -122.485124 37.718575))",10,2016-01-01
160,332.04,"POLYGON ((-122.484909 37.724032, -122.479631 37.719663, -122.478988 37.720844, -122.475347 37.720914, -122.475368 37.72037, -122.474528 37.719065, -122.474383 37.717507, -122.475818 37.716891, -122.47724 37.717709, -122.478674 37.717903, -122.479981 37.716942, -122.483205 37.717585, -122.483143 37.718517, -122.484832 37.718571, -122.485124 37.718575, -122.484909 37.724032))",7,2016-01-01
161,351.0,"POLYGON ((-122.502979 37.764344, -122.496085 37.764675, -122.49595 37.762732, -122.495822 37.760871, -122.495692 37.759001, -122.495555 37.757137, -122.495433 37.755273, -122.495307 37.75341, -122.495165 37.751543, -122.499914 37.751334, -122.499784 37.749472, -122.50193 37.749377, -122.50206 37.75124, -122.502191 37.753106, -122.502318 37.754953, -122.50245 37.756835, -122.502582 37.7587, -122.502713 37.760567, -122.502844 37.762427, -122.502979 37.764344))",7,2016-01-01
162,352.01,"POLYGON ((-122.512070759187 37.7636593024008, -122.50987 37.76409, -122.509622 37.762127, -122.509382 37.760272, -122.509111 37.75841399999999, -122.502582 37.7587, -122.50245 37.756835, -122.502318 37.754953, -122.502191 37.753106, -122.50206 37.75124, -122.50193 37.749377, -122.505148 37.749235, -122.507942 37.749111, -122.509993368973 37.74881495033259, -122.512070759187 37.7636593024008))",4,2016-01-01
163,352.02,"POLYGON ((-122.50987 37.76409, -122.502979 37.764344, -122.502844 37.762427, -122.502713 37.760567, -122.502582 37.7587, -122.509111 37.75841399999999, -122.509382 37.760272, -122.509622 37.762127, -122.50987 37.76409))",18,2016-01-01
164,353.0,"POLYGON ((-122.50193 37.749377, -122.499784 37.749472, -122.499914 37.751334, -122.495165 37.751543, -122.495046 37.749681, -122.494911 37.747814, -122.494774 37.745949, -122.494646 37.744089, -122.494504 37.742222, -122.494404 37.740352, -122.494253 37.738493, -122.494126 37.736631, -122.493784 37.733989, -122.496564 37.733856, -122.497487 37.733925, -122.499139 37.734404, -122.501041 37.7353, -122.501142 37.738192, -122.501404 37.74191, -122.501536 37.743785, -122.50193 37.749377))",9,2016-01-01
165,354.0,"POLYGON ((-122.509993368973 37.74881495033259, -122.507942 37.749111, -122.505148 37.749235, -122.50193 37.749377, -122.501536 37.743785, -122.501404 37.74191, -122.501142 37.738192, -122.501041 37.7353, -122.502031 37.735515, -122.505262 37.735565, -122.506796 37.73555899999999, -122.508121548602 37.7354395332202, -122.509993368973 37.74881495033259))",6,2016-01-01
166,401.0,"POLYGON ((-122.464781 37.788564, -122.463581 37.788806, -122.459476 37.789711, -122.459388 37.788405, -122.459179 37.785682, -122.458998 37.783189, -122.458878 37.781326, -122.461068 37.781227, -122.464284 37.781089, -122.464551 37.784792, -122.464781 37.788564))",15,2016-01-01
167,402.0,"POLYGON ((-122.472583 37.786317, -122.472352 37.787234, -122.470912 37.787221, -122.466924 37.788132, -122.464781 37.788564, -122.464551 37.784792, -122.464284 37.781089, -122.466432 37.78099, -122.467492 37.780938, -122.472264 37.780747, -122.472379 37.782581, -122.472516 37.784453, -122.472583 37.786317))",3,2016-01-01
168,426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))",3,2016-01-01
169,426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))",7,2016-01-01
170,427.0,"POLYGON ((-122.493491 37.783498, -122.490364 37.78364, -122.487151 37.783785, -122.487286 37.785649, -122.48408 37.785795, -122.483936 37.783931, -122.483804 37.782077, -122.483667 37.780207, -122.489019 37.779977, -122.491172 37.779869, -122.493305 37.77975199999999, -122.493446 37.781627, -122.493491 37.783498))",5,2016-01-01
171,451.0,"POLYGON ((-122.464284 37.781089, -122.461068 37.781227, -122.458878 37.781326, -122.458505 37.77619, -122.458371 37.774309, -122.460553 37.774031, -122.463749 37.773624, -122.464011 37.777235, -122.464284 37.781089))",4,2016-01-01
172,452.0,"POLYGON ((-122.472264 37.780747, -122.467492 37.780938, -122.466432 37.78099, -122.464284 37.781089, -122.464011 37.777235, -122.463749 37.773624, -122.465332 37.773423, -122.466952 37.773351, -122.471706 37.773141, -122.471842 37.775006, -122.471967 37.776871, -122.472103 37.778731, -122.472264 37.780747))",19,2016-01-01
173,476.0,"POLYGON ((-122.479388 37.780403, -122.47831 37.780449, -122.472264 37.780747, -122.472103 37.778731, -122.471967 37.776871, -122.471842 37.775006, -122.471706 37.773141, -122.478837 37.772815, -122.478972 37.774681, -122.479106 37.776546, -122.479241 37.778408, -122.479388 37.780403))",9,2016-01-01
174,477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))",5,2016-01-01
175,477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))",12,2016-01-01
176,478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))",11,2016-01-01
177,478.02,"POLYGON ((-122.498801 37.781377, -122.493446 37.781627, -122.493305 37.77975199999999, -122.493168 37.777774, -122.497455 37.777579, -122.497319 37.775715, -122.495175 37.775813, -122.495039 37.773947, -122.494903 37.772081, -122.498114 37.771934, -122.49825 37.7738, -122.498386 37.775667, -122.498521 37.777531, -122.498669 37.779507, -122.498801 37.781377))",4,2016-01-01
178,479.01,"POLYGON ((-122.514483 37.780829, -122.509842514521 37.7846145393916, -122.507484 37.782185, -122.510781 37.782059, -122.509879 37.780627, -122.509593 37.780173, -122.509228 37.777044, -122.506022 37.77719, -122.501733 37.777385, -122.498521 37.777531, -122.498386 37.775667, -122.49825 37.7738, -122.498114 37.771934, -122.505611 37.771592, -122.511124 37.771323, -122.513067688424 37.7707830331714, -122.513128 37.771214, -122.514483 37.780829))",27,2016-01-01
179,479.02,"POLYGON ((-122.509879 37.780627, -122.506509 37.780857, -122.505226 37.781077, -122.502012 37.781227, -122.498801 37.781377, -122.498669 37.779507, -122.498521 37.777531, -122.501733 37.777385, -122.506022 37.77719, -122.509228 37.777044, -122.509593 37.780173, -122.509879 37.780627))",5,2016-01-01
180,604.0,"POLYGON ((-122.506796 37.73555899999999, -122.505262 37.735565, -122.502031 37.735515, -122.501041 37.7353, -122.499139 37.734404, -122.497487 37.733925, -122.496564 37.733856, -122.499059 37.731576, -122.497017 37.729303, -122.493529 37.729594, -122.492161 37.728836, -122.48889 37.730257, -122.486606 37.729555, -122.483811 37.727029, -122.484909 37.724032, -122.485124 37.718575, -122.485043 37.714754, -122.476624 37.714567, -122.471355 37.712802, -122.471215 37.708939, -122.471319 37.708305, -122.486042 37.708233, -122.502426880724 37.7081329861058, -122.506483 37.723731, -122.508121548602 37.7354395332202, -122.506796 37.73555899999999))",8,2016-01-01
181,605.02,"POLYGON ((-122.424478 37.71011, -122.423027 37.710377, -122.422241 37.711317, -122.421475 37.712201, -122.420908 37.713774, -122.415635 37.712733, -122.416 37.711915, -122.416648 37.710473, -122.419348 37.709947, -122.420083 37.70831099999999, -122.420082 37.708231, -122.42389 37.708236, -122.423377 37.709203, -122.424478 37.71011))",67,2016-01-01
182,607.0,"POLYGON ((-122.40499 37.769715, -122.404391 37.76974999999999, -122.401657 37.771817, -122.399433 37.773573, -122.400982 37.774809, -122.398755 37.776568, -122.397206 37.775332, -122.39275 37.778852, -122.390527 37.780607, -122.389168 37.781649, -122.388423 37.78179799999999, -122.387421 37.78279, -122.383505768697 37.7830792797042, -122.381232 37.773514, -122.380462169293 37.7675163525902, -122.385823 37.767255, -122.387917 37.764379, -122.388164 37.766958, -122.393968 37.766614, -122.393848 37.765307, -122.398703 37.765014, -122.404497 37.764664, -122.40499 37.769715))",48,2016-01-01
183,610.0,"POLYGON ((-122.405582 37.708231, -122.404821 37.709747, -122.404348 37.710443, -122.403109 37.711998, -122.402546 37.712266, -122.400626 37.712984, -122.398328 37.716259, -122.398515 37.717664, -122.397025 37.719515, -122.396682 37.720266, -122.393545 37.718487, -122.391141 37.71803999999999, -122.388131 37.71629799999999, -122.38685 37.717509, -122.386265 37.717179, -122.38282 37.721872, -122.383251 37.720151, -122.374980911262 37.71555763121989, -122.377251 37.714557, -122.379568 37.711491, -122.37529 37.708482, -122.390674 37.70864, -122.39137503156 37.708331, -122.393635 37.708244, -122.395107 37.708339, -122.404682 37.708331, -122.405292 37.708262, -122.405582 37.708231))",23,2016-01-01
184,611.0,"POLYGON ((-122.408431 37.796704, -122.405513 37.797065, -122.402041 37.797505, -122.400681 37.796777, -122.400149 37.794134, -122.404613 37.793565, -122.404796 37.794453, -122.407903 37.79406, -122.408253 37.795824, -122.408431 37.796704))",58,2016-01-01
185,612.0,"POLYGON ((-122.395945 37.737784, -122.394093 37.736729, -122.391268 37.739853, -122.389425 37.738803, -122.387705 37.742697, -122.387143 37.741297, -122.385282 37.74024, -122.388529 37.736475, -122.38717 37.735698, -122.387399 37.734738, -122.389035 37.732919, -122.39106 37.734066, -122.391617 37.732487, -122.393904 37.733788, -122.392776 37.735038, -122.396515 37.737156, -122.395945 37.737784))",54,2016-01-01
186,614.0,"POLYGON ((-122.403784 37.749433, -122.403007 37.752446, -122.403127 37.754478, -122.403396 37.756471, -122.403689 37.757015, -122.39797 37.757359, -122.398216 37.759909, -122.392494 37.760245, -122.392447 37.756436, -122.391232 37.752657, -122.390683 37.752663, -122.394587 37.752427, -122.396408 37.751179, -122.402605 37.750558, -122.403569 37.749475, -122.403784 37.749433))",56,2016-01-01
187,615.0,"POLYGON ((-122.406062 37.785757, -122.399195 37.791058, -122.396315 37.793337, -122.394748 37.79448, -122.393181 37.79323, -122.391487 37.793859, -122.389708268207 37.7958244063587, -122.388570312096 37.7945008753206, -122.385555859095 37.790994833152, -122.385323 37.790724, -122.383505768697 37.7830792797042, -122.387421 37.78279, -122.388423 37.78179799999999, -122.389168 37.781649, -122.390527 37.780607, -122.39275 37.778852, -122.397386 37.782554, -122.39893 37.783785, -122.400468 37.78503, -122.402708 37.783259, -122.406062 37.785757))",222,2016-01-01
188,9802.0,"POLYGON ((-122.510781 37.782059, -122.507484 37.782185, -122.509842514521 37.7846145393916, -122.50531 37.788312, -122.493048716406 37.7879341073778, -122.493338 37.787403, -122.493491 37.783498, -122.493446 37.781627, -122.498801 37.781377, -122.502012 37.781227, -122.505226 37.781077, -122.506509 37.780857, -122.509879 37.780627, -122.510781 37.782059))",1,2016-01-01
189,9803.0,"POLYGON ((-122.513067688424 37.7707830331714, -122.511124 37.771323, -122.505611 37.771592, -122.498114 37.771934, -122.494903 37.772081, -122.488471 37.772374, -122.482049 37.772667, -122.478837 37.772815, -122.471706 37.773141, -122.466952 37.773351, -122.465332 37.773423, -122.463749 37.773624, -122.460553 37.774031, -122.458371 37.774309, -122.454683 37.774755, -122.454083 37.77193, -122.450787 37.772368, -122.447497 37.77279, -122.444216 37.773212, -122.440922 37.773635, -122.440735 37.772713, -122.445717 37.77208, -122.4506 37.77146, -122.453902 37.771054, -122.453352 37.768246, -122.452947 37.766374, -122.456913 37.765874, -122.45779 37.766015, -122.458405 37.76616, -122.46109 37.766132, -122.464297 37.765963, -122.47073 37.76577899999999, -122.477261 37.765486, -122.484763 37.76516, -122.486906 37.765054, -122.493336 37.764774, -122.496085 37.764675, -122.502979 37.764344, -122.50987 37.76409, -122.512070759187 37.7636593024008, -122.513067688424 37.7707830331714))",61,2016-01-01
190,9805.01,"POLYGON ((-122.42639 37.718561, -122.42583 37.719302, -122.424771 37.722172, -122.423807 37.723691, -122.421847 37.724199, -122.419875 37.72471, -122.416632 37.722157, -122.412969 37.723858, -122.412468 37.722658, -122.41099 37.719074, -122.407036 37.720085, -122.406665 37.719215, -122.407272 37.71782, -122.408255 37.71809, -122.40895 37.716458, -122.410433 37.716414, -122.411316 37.714367, -122.415396 37.715474, -122.415291 37.713504, -122.415635 37.712733, -122.420908 37.713774, -122.421475 37.712201, -122.422241 37.711317, -122.423027 37.710377, -122.424478 37.71011, -122.426737 37.711225, -122.425548 37.714517, -122.427189 37.715748, -122.42639 37.718561))",19,2016-01-01
191,9806.0,"POLYGON ((-122.385024 37.724098, -122.382176 37.722246, -122.377833 37.72656, -122.379697 37.727618, -122.378542 37.728942, -122.373766 37.728005, -122.369771405992 37.7326989677807, -122.367386 37.732004, -122.366161 37.732844, -122.364671 37.731859, -122.356784 37.729505, -122.360238 37.719421, -122.364084 37.715701, -122.370411 37.717572, -122.374980911262 37.71555763121989, -122.383251 37.720151, -122.38282 37.721872, -122.384517 37.722862, -122.386899 37.724289, -122.385024 37.724098))",3,2016-01-01
192,9809.0,"POLYGON ((-122.406952 37.740495, -122.40459 37.744126, -122.403561 37.747762, -122.403569 37.749475, -122.402605 37.750558, -122.396408 37.751179, -122.394587 37.752427, -122.390683 37.752663, -122.381711 37.753186, -122.380985 37.753228, -122.378560351096 37.7535517721854, -122.376716 37.752094, -122.376241 37.748523, -122.373364367386 37.7457632793685, -122.376847 37.740192, -122.37911 37.73768, -122.380887 37.738828, -122.381558 37.738123, -122.385282 37.74024, -122.387143 37.741297, -122.387705 37.742697, -122.389425 37.738803, -122.391268 37.739853, -122.394093 37.736729, -122.395945 37.737784, -122.399685 37.739902, -122.406853 37.73805, -122.406952 37.740495))",68,2016-01-01
0,101.0,"POLYGON ((-122.420612315115 37.8111121700604, -122.407452 37.81144099999999, -122.399638840473 37.8065658502084, -122.401787 37.805314, -122.403495 37.805089, -122.405174 37.804763, -122.406625 37.804535, -122.408332 37.804367, -122.411581 37.803963, -122.414877 37.803542, -122.416888 37.805212, -122.418718 37.805932, -122.419224 37.808453, -122.420612315115 37.8111121700604))",83,2017-01-01
1,102.0,"POLYGON ((-122.426671 37.809639, -122.424876 37.810799, -122.425041162157 37.811001508766, -122.420612315115 37.8111121700604, -122.419224 37.808453, -122.418718 37.805932, -122.418281 37.804023, -122.417799 37.801267, -122.417587 37.800341, -122.420769 37.79993899999999, -122.420883 37.799902, -122.424275 37.799472, -122.424464 37.800402, -122.424835 37.802268, -122.425209 37.804133, -122.425628 37.806456, -122.426613 37.808152, -122.426671 37.809639))",35,2017-01-01
2,103.0,"POLYGON ((-122.418718 37.805932, -122.416888 37.805212, -122.414877 37.803542, -122.412908 37.802184, -122.412849 37.801893, -122.412471 37.800032, -122.412283 37.799096, -122.417218 37.798472, -122.417385 37.799414, -122.417587 37.800341, -122.417799 37.801267, -122.418281 37.804023, -122.418718 37.805932))",18,2017-01-01
